County,electricity,p_lamp,lantern,tin_lamp,gas_lamp,wood,Solar,other,tot_households,lon,lat
Baringo,10583,437,43488,22238,796,1902,30734,471,110649,35.952537,0.512912
Bomet,7552,581,113311,45434,1135,4958,1444,499,174914,35.278005,-0.690131
Bungoma,12219,1351,72256,180120,1704,1223,1493,458,270824,34.672536,0.737046
Busia,9253,494,33283,108949,709,633,566,338,154225,34.210571,0.428414
Elgeyo Marakwet,5547,220,36321,21891,449,1155,11744,228,77555,35.564093,0.806011
Embu,19611,992,46512,57535,778,4515,1114,626,131683,37.653906,-0.5982
Garissa,11405,552,20272,31642,17277,364,10251,6827,98590,40.408457,-0.564679
Homa Bay,6850,980,43788,150440,1067,2081,823,226,206255,34.411083,-0.640985
Isiolo,5800,154,9751,6113,781,429,7283,1015,31326,38.614718,0.949302
Kajiado,69098,1430,32788,62031,706,1827,3804,1780,173464,36.980268,-2.221971
Kakamega,19959,1791,100156,226650,2718,2555,1367,483,355679,34.654844,0.308499
Kericho,15005,505,58865,49875,587,2171,361,212,127581,35.319833,-0.297842
Kiambu,255704,3345,125860,89701,1428,3811,735,1866,482450,36.79929,-1.060698
Kilifi,33423,1433,33735,125005,911,1121,3471,665,199764,39.63501,-3.279972
Kirinyaga,25353,1028,51589,69116,1005,5349,413,367,154220,37.302006,-0.517766
Kisii,20965,1033,87971,154632,1490,2536,711,345,269683,34.766895,-0.782524
Kisumu,41551,1256,52543,127278,921,2265,513,392,226719,34.953647,-0.167225
Kitui,9850,1192,111037,64450,1372,6002,10311,1277,205491,38.376101,-1.519146
Kwale ,12888,713,16063,89118,419,998,1522,326,122047,39.174233,-4.242667
Laikipia,18222,542,36366,35413,740,6127,5276,428,103114,36.814178,0.311627
Lamu,3767,135,7211,8752,158,1173,560,428,22184,40.688214,-2.03752
Machakos,45067,1846,143523,63999,1355,6973,565,1172,264500,37.352277,-1.327138
Makueni,10912,816,117991,47245,859,7002,1136,517,186478,37.865047,-2.211917
Mandera,3198,271,41321,16989,13845,293,45240,4340,125497,40.704671,3.46712
Marsabit,4258,69,13084,6953,1665,678,27355,2879,56941,37.76822,2.772167
Meru,50004,2388,112946,183198,3018,20938,7015,1519,381026,37.750761,0.159398
Migori,9551,1015,46080,119675,1057,1485,1051,297,180211,34.42681,-1.008592
Mombasa,158588,2748,43057,61236,512,385,530,1644,268700,39.632129,-3.998813
'Murang''a',33847,1306,95784,103722,1296,5594,555,386,242490,37.035566,-0.804314
Nairobi,712859,10324,128173,123551,1251,992,622,7244,985016,36.844534,-1.296975
Nakuru,139430,2271,147950,103605,1994,9261,3398,1927,409836,36.036261,-0.385212
Nandi,9788,504,64865,75638,796,1920,316,246,154073,35.156125,0.143371
Narok,9903,826,49009,91422,861,2301,12977,1921,169220,35.686784,-1.227452
Nyamira,6486,453,42674,54798,586,1024,297,67,106385,34.955612,-0.644917
Nyandarua,15086,875,79351,38225,911,8653,391,387,143879,36.494076,-0.374727
Nyeri,53086,1641,69517,66305,1038,8626,1004,486,201703,36.965186,-0.407168
Samburu,2949,165,5074,9239,444,658,28451,374,47354,37.184377,1.183862
Siaya,8615,858,41128,145066,885,1772,440,270,199034,34.279374,0.039184
Taita Taveta,10653,353,32595,24732,257,1638,412,450,71090,38.376101,-3.551502
Tana River,1184,86,9590,31438,604,448,2785,1279,47414,39.536272,-1.584971
Tharaka Nithi,826,93,3801,18194,154,2307,1652,366,27393,37.882411,-0.227324
Trans Nzoia,15121,977,65971,84035,1088,1442,994,489,170117,34.949297,1.030597
Turkana,3017,224,10571,13523,694,946,89894,4322,123191,35.401457,3.318344
Uasin Gishu,56534,1218,89231,50506,782,2357,628,1035,202291,35.306307,0.555288
Vihiga,8678,547,35132,76480,1038,761,582,129,123347,34.717749,0.0785
Wajir,3039,98,27923,14948,9767,155,26296,6348,88574,40.07933,1.895541
West Pokot,2456,104,20880,22021,467,469,46980,400,93777,35.316901,1.575837
Kenya Average,1989740,52240,2670387,3373126,84375,142273,396062,59751,8767954,,
