County,Total,HouseHolds,Area_sq_km
BARINGO,555561,110649,11015.34
BOMET,724186,142361,2471.3
BUNGOMA,1375063,270824,3032.15
BUSIA,743946,154225,1695.03
ELGEYO MARAKWET,369998,77555,3029.78
EMBU,516212,131683,2818.04
GARISSA,623060,98590,44175.02
HOMA BAY,963794,206255,3183.29
ISIOLO,143294,31326,25336.07
KAJIADO,687312,173464,21900.97
KAKAMEGA,1660651,355679,3051.23
KERICHO,758339,160134,2478.99
KIAMBU,1623282,469244,2543.42
KILIFI,1109735,199764,12609.74
KIRINYAGA,528054,154220,1479.09
KISII,1152282,245029,1317.53
KISUMU,968909,226719,2085.93
KITUI,1012709,205491,30496.51
KWALE,649931,122047,8270.15
LAIKIPIA,399227,103114,9461.92
LAMU,101539,22184,6273.12
MACHAKOS,1098584,264500,6208.24
MAKUENI,884527,186478,8008.75
MANDERA,1025756,125497,25991.47
MARSABIT,291166,56941,70961.19
MERU,1356301,319616,6936.24
MIGORI,917170,180211,2596.44
MOMBASA,939370,268700,218.86
'MURANG''A',942581,255696,2558.82
NAIROBI,3138369,985016,695.1
NAKURU,1603325,409836,7495.07
NANDI,752965,154073,2884.18
NAROK,850920,169220,17933.05
NYAMIRA,598252,131039,899.33
NYANDARUA,596268,143879,3245.25
NYERI,693558,201703,3337.09
SAMBURU,223947,47354,21022.15
SIAYA,842304,199034,2530.38
TAITA TAVETA,284657,71090,17084.04
TANA RIVER,240075,47414,38436.91
THARAKA NITHI,365330,88803,2638.83
TRANS NZOIA,818757,170117,2495.53
TURKANA,855399,123191,68680.29
UASIN GISHU,894179,202291,3345.21
VIHIGA,554622,123347,530.9
WAJIR,661941,88574,56685.83
WEST POKOT,512690,93777,9169.41
KENYA,38610097,8767954,581313.2
(41.52798948348181,,,
